id_ingredient,singulier,pluriel,ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),norm_ing
00213,brique,briques,Brique,1220,"19,4","23,8",traces,"< 0,05",0,,16,"91,8",brique
00214,aile,ailes,,,,,,,,,,,
00215,queue,queues,Queue,820,28,"9,3",traces,,0,,"3,72",82,queue
00216,riesling,rieslings,Riesling,1050,"10,2","12,6","23,7","2,25","1,2",,"6,2",,riesling
00217,brocoli,brocolis,Brocoli,,"2,1","0,78","1,1","1,1","1,5",,"0,2",0,brocoli
00218,xérès,xérès,Xérès,,,,,,,,,,xeres
00219,poitrine,poitrines,,,,,,,,,,,
00220,crépine,crépines,Crépine,,,,,,,,,,crepine
00221,menthe,menthe,Menthe,240,"3,52","0,84","5,3","5,3","7,4",,"0,22",0,menthe
00222,panure,panure,Panure,,,,,,,,,,panure
00223,morille,morilles,Morilles,102,"3,16","0,54","0,1","0,044","3,35",,"0,16",,morilles
00224,saumon,saumons,Saumon,805,25,"10,3",traces,0,0,,,,saumon
00225,fumet,fumets,Fumet,,,,,,,,,,fumet
00226,calvados,calvados,Calvados,,0,0,0,0,0,,0,,calvados
00227,cerf,cerfs,Cerf,632,"30,2","3,19",0,,0,,"1,25",112,cerf
00228,barde,bardes,,,,,,,,,,,
00229,pilon,pilons,,,,,,,,,,,
00230,lotte,lottes,Lotte,285,"15,1","0,74",traces,0,"< 0,2",,"0,2",25,lotte
00231,colin,colins,Colin,425,"24,4","< 0,5",traces,0,0,,"< 0,01","70,1",colin
00232,baguette,baguettes,Baguette,1200,"9,06","1,4","58,3","2,3","2,7",,"0,45","0,075",baguette
00233,congre,congres,Congre,481,"18,3","4,6",traces,0,0,,,78,congre
00234,bonnet,bonnets,Bonnet,,,,,,,,,,bonnet
00235,boursin,boursin,Boursin,1510,"7,5","35,3","4,24","1,86",0,,"23,9","69,3",boursin
00236,brick,bricks,Brick,1060,"10,4","18,1","12,3","1,6","0,5",,,264,brick
00237,merguez,merguez,Merguez,1180,"13,1","11,4",31,"2,92","1,81",,"5,2","28,5",merguez
00238,Ras,Ras,,,,,,,,,,,
00239,faisan,faisans,Faisan,999,"32,4","12,1",0,0,0,,"3,91",89,faisan
00240,crépinette,crépinettes,Crépinette,,,,,,,,,,crepinette
00241,haddock,haddock,Haddock,411,"22,6","0,73",0,0,0,,"0,13",77,haddock
00242,tagliatelle,tagliatelles,Tagliatelles,487,"5,32","4,07","13,6","2,64","1,9",,"1,42",11,tagliatelles
00243,muscadet,muscadet,Muscadet,,,,,,,,,,muscadet
00244,champagne,champagne,Champagne,,"0,3",0,"2,81","1,4",0,,0,0,champagne
00245,plat,plats,,,,,,,,,,,
00246,reblochon,reblochons,Reblochon,1360,"19,9","27,4",traces,0,0,,"18,8","89,9",reblochon
00247,macaroni,macaronis,Macaroni,,,,,,,,,,macaroni
00248,airelle,airelles,Airelles,,,,,,,,,,airelles
00249,gelée,gelées,Gelée,,13,4,14,14,,,,,gelee
00250,pousse,pousses,,,,,,,,,,,
00251,cèpe,cèpes,Cèpes,133,"3,13","0,43","3,03","1,7","1,93",,"0,071",0,cepes
00252,croûton,croûtons,Croûtons,2060,"9,19","24,1","59,1",4,"2,6",,"4,3",,croutons
00253,sumac,sumac,Sumac,,,,,,,,,,sumac
00254,café,café,Café,489,"2,87","3,69","17,8",14,"0,042",,"2,5",,cafe
00255,thé,thé,Thé,"0,26",0,"0,007",0,0,0,,"0,002",0,the
00256,comté,comtés,Comté,1740,"26,7","34,6",traces,traces,0,,"22,5",115,comte
00257,sésame,sésames,Sésame,,"20,8","49,7","9,85","0,3","14,9",,"7,09",0,sesame
00258,saké,sakés,Saké,552,0,0,5,0,0,,0,0,sake
00259,moule,moules,Moules,457,"17,2","2,09","5,12",,0,,"0,37","52,1",moules
00260,cive,cives,Cive,,,,,,,,,,cive
00261,Monbazillac,Monbazillac,Monbazillac,,,,,,,,,,monbazillac
00262,kub,kubs,,,,,,,,,,,
00263,armagnac,armagnac,Armagnac,945,0,0,1,0,0,,,0,armagnac
00264,cassonade,cassonades,Cassonade,,,,,,,,,,cassonade
00265,fin,fins,,,,,,,,,,,
00266,cervelle,cervelles,Cervelle,551,"11,5","9,63",0,,0,,"2,18",3100,cervelle
00267,confiture,confitures,Confiture,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0,confiture
00268,rumsteck,rumstecks,Rumsteck,482,"22,5","2,5","0,4",0,0,,"0,78",63,rumsteck
00269,mahi,mahis,,,,,,,,,,,
00270,papaye,papayes,Papaye,178,"0,75","< 0,3","8,53","8,1","1,8",,"< 0,01",0,papaye
00271,soja,sojas,Soja,193,"7,08","0,1","3,64","1,32","0,86",,"0,0085",0,soja
00272,ciboul,cibouls,,,,,,,,,,,
00273,vanille,vanilles,Vanille,,"0,1","0,33",99,"97,2","0,37",,"0,053",,vanille
00274,ananas,ananas,Ananas,231,"< 0,5","< 0,5","11,7","10,5","1,2",,"< 0,01",0,ananas
00275,mousse,mousses,,,,,,,,,,,
00276,haché,hachés,,,,,,,,,,,
00277,saté,satés,Saté,,,,,,,,,,sate
00278,nuoc,nuoc,,,,,,,,,,,
00279,endive,endives,Endive,"99,5","1,13","< 0,3","4,38","3,2","< 0,5",,"< 0,01",,endive
00280,cardamome,cardamome,Cardamome,1340,"10,8","6,7","40,5",,28,,,0,cardamome
00281,noix,noix,Noix,,"15,7","67,3","6,88",3,"6,7",,"6,45",0,noix
00282,amande,amandes,Amandes,,"22,6","51,3","9,51","4,2","12,5",,"4,11",0,amandes
00283,beaufort,beaufort,Beaufort,1710,26,34,traces,0,0,,"19,2",,beaufort
00284,figue,figues,Figue,293,"1,19","< 0,5","13,5","12,2","4,1",,"< 0,01",0,figue
00285,mâche,mâches,Mâche,"70,1",2,"< 0,5","0,5",traces,"2,3",,"< 0,01",0,mache
00286,saindoux,saindoux,Saindoux,3680,0,"99,5",0,0,0,,"41,1",95,saindoux
00287,fromage,fromages,Fromage,1330,"20,2","26,5",0,"0,021",0,,"17,6",,fromage
00288,anchois,anchois,Anchois,541,"18,6","6,07",traces,0,0,,"1,64",124,anchois
00289,macédoine,macédoines,Macédoine,170,"2,32","0,28","5,59","1,73","3,16",,"0,076",0,macedoine
00290,navarin,navarins,,,,,,,,,,,
00291,levure,levures,Levure,1400,"40,4","4,5","21,8","2,5","22,5",,"0,7","< 0,7",levure
00292,andouille,andouilles,Andouille,878,"18,4","15,1","0,3",,traces,,,,andouille
00293,semoule,semoules,Semoule,510,"3,75","0,8",24,3,"1,9",,"0,25",,semoule
00294,cardon,cardons,Cardon,,"0,76","0,11","3,63",,"1,7",,"0,012",0,cardon
00295,biche,biches,Biche,,,,,,,,,,biche
00296,citronnelle,citronnelles,Citronnelle,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0,citronnelle
00297,couteau,couteaux,Couteau,,,,,,,,,,couteau
00298,magret,magrets,,,,,,,,,,,
00299,pavot,pavots,Pavot,2280,"19,7","43,1","13,7","2,99","14,8",,"4,69",0,pavot
00300,fenouil,fenouils,Fenouil,1350,"15,7","14,9","12,5","12,5","39,8",,"0,48",0,fenouil
00301,bûche,bûches,Bûche,949,"2,42","10,4",30,"25,6","1,54",,"7,1",,buche
00302,perdrix,perdrix,Perdrix,,,,,,,,,,perdrix
00303,muscat,muscat,Muscat,381,"0,69","< 0,5",20,"19,6","2,7",,"< 0,01",,muscat
00304,noisette,noisettes,Noisettes,,17,"56,9","7,16","4,9","11,6",,"4,75",0,noisettes
00305,requin,requins,Requin,461,"20,8","2,91",traces,0,0,,"0,48",51,requin
00306,concombre,concombres,Concombre,"61,6","0,56","< 0,5","2,23","1,8","0,8",,"< 0,01",0,concombre
00307,raviole,ravioles,Raviole,951,10,"8,3","26,8","4,4","1,9",,"4,64","36,2",raviole
00308,confit,confits,,,,,,,,,,,
00309,flocon,flocons,,,,,,,,,,,
00310,pecorino,pecorinos,Pecorino,,,"28,8",traces,0,0,,"18,3",104,pecorino
00311,sot,sots,,,,,,,,,,,
00312,chicorée,chicorées,Chicorée,1350,"3,3","2,5","57,2","21,7","29,2",,"0,75",0,chicoree
00313,myrtille,myrtilles,Myrtilles,244,"0,87","0,33","10,6","9,96","2,4",,"0,028",0,myrtilles
00314,banane,bananes,Banane,383,"1,06","< 0,5","19,7","15,6","2,7",,"< 0,01",0,banane
00315,osso,ossos,,,,,,,,,,,
00316,fondre,fondres,,,,,,,,,,,
00317,spaghetti,spaghettis,Spaghetti,,"0,66","0,26","5,06","2,53","1,4",,"0,062",0,spaghetti
00318,ouzo,ouzos,Ouzo,,,,,,,,,,ouzo
00319,ghee,ghees,Ghee,,,,,,,,,,ghee
00320,fenugreek,fenugreeks,Fenugreek,,,,,,,,,,fenugreek
00321,colorant,colorants,Colorant,,,,,,,,,,colorant
00322,mangue,mangues,Mangue,314,"0,63","< 0,5","14,3","12,9","1,6",,"< 0,01",0,mangue
00323,cacao,cacaos,Cacao,1610,"22,4","20,6","11,6","0,9","29,5",,"12,4",0,cacao
00324,bleu,bleu,Bleu,1030,"26,5","15,5",traces,0,0,,,,bleu
