Ingrédient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g)
Sole,330,"15,7","1,69",traces,0,0,,"0,31","60,5"
Sole portion,330,"15,7","1,69",traces,0,0,,"0,31","60,5"
Son de blé,1160,"15,2","4,35","23,6","2,46",42,,"0,84",0
Sorbet à la vanille,444,3,"3,6","14,4","14,2",< 3,,"2,48",
Sorbet ananas,,"0,46","0,78","29,6",25,"1,17",,"0,45",1
Sorbet au citron vert,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Sorbet citron,,"0,46","0,78","29,6",25,"1,17",,"0,45",1
Sorbet citron vert,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Sorbet coco,,"0,46","0,78","29,6",25,"1,17",,"0,45",1
Sorbet fraise,,"0,46","0,78","29,6",25,"1,17",,"0,45",1
Sorbet mangue,,"0,46","0,78","29,6",25,"1,17",,"0,45",1
Sorbet melon,,"0,46","0,78","29,6",25,"1,17",,"0,45",1
Sorbet mirabelle,,"0,46","0,78","29,6",25,"1,17",,"0,45",1
Sorbet pomme verte,,"0,46","0,78","29,6",25,"1,17",,"0,45",1
Sot-l'y-laisse,,,,,,,,,
Soubressade,,,,,,,,,
Soumaintrain,,,,,,,,,
Soupe de poisson,179,"3,45","1,79","2,88","0,9","0,69",,"0,58",30
Soupe oxtail,157,"1,27","1,37","4,5","1,6","1,02",,"0,57","7,47"
Souris d'agneau,538,20,"5,13","0,48",0,0,,"1,97","72,7"
Souris de boeuf,583,"21,9","5,2","0,33",,< 3,,"1,8","60,2"
Spaghetti,,"0,66","0,26","5,06","2,53","1,4",,"0,062",0
Spaghettini,,,,,,,,,
Spätzle,,,,,,,,,
Speck,1010,"12,2","9,43","25,7","3,47","1,6",,"4,67",
Spéculoos,,"5,94","19,7",69,"32,6","1,93",,"9,35",
Spigol,,,,,,,,,
Spiruline,,"57,5","7,72","20,3","3,1","3,6",,"2,65",0
Sprat,777,"19,8","11,9",traces,0,0,,"3,32",87
Spritz,,,,,,,,,
St Germain,0,0,0,0,0,0,,0,0
Stabilisateur,,,,,,,,,
Steak,858,"13,4","7,1","20,8","3,97","3,1",,"0,73",
Steak de soja,824,"11,1","10,2","13,3","2,62","5,36",,"1,07","4,43"
Steak haché,1010,"16,7","19,5","0,4",0,0,,"8,5",
Stévia,993,traces,"0,2",98,"0,3","0,5",,0,
Stilton,,,,,,,,,
Stollen,,,,,,,,,
Stylo pâtissier,504,"3,79","3,6",18,"15,3",0,,"1,76",123
Sucette,,"< 0,19","0,35","95,4","74,9","< 0,17",,"0,28",0
Sucre,,0,0,"99,8","99,8",0,,0,0
Sucre blond,,0,0,"99,8","99,8",0,,0,0
Sucre blond de canne,753,13,"13,8","1,31","0,93",0,,"3,68",884
Sucre brun,,"21,3","42,2","3,56","1,4","26,9",,"4,61",
Sucre candi,,0,0,"99,8","99,8",0,,0,0
Sucre complet,,0,0,"99,8","99,8",0,,0,0
Sucre de canne,753,13,"13,8","1,31","0,93",0,,"3,68",884
Sucre de coco,775,"1,77","18,4","3,4","2,1","0,57",,"16,5",0
Sucre en grain,,"0,32","0,48","14,9","14,3","1,4",,"0,14",
Sucre en morceaux,,"0,32","0,48","14,9","14,3","1,4",,"0,14",
Sucre en poudre,2420,"47,9",42,"3,11","0,3",0,,"13,1",1670
Sucre fin,,0,0,"99,8","99,8",0,,0,0
Sucre glace,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3"
Sucre impalpable,,0,0,"99,8","99,8",0,,0,0
Sucre roux,,"0,12",0,"97,3","95,5",0,,0,0
Sucre roux (cassonade),,"0,12",0,"97,3","95,5",0,,0,0
Sucre semoule,510,"3,75","0,8",24,3,"1,9",,"0,25",
Sucre vanillé,,"0,1","0,33",99,"97,2","0,37",,"0,053",
Sucre vanilliné,,0,0,"99,8","99,8",0,,0,0
Sucrette,,,,,,,,,
Sucrine,"75,5","1,13","< 0,3","2,58","1,78","0,8",,"< 0,01",
Sujet en chocolat,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5"
Sumac,,,,,,,,,
Supion,,,,,,,,,
Surimi,525,"8,31","4,92","11,8","2,1","< 0,33",,"0,46","10,8"
Sylvaner,,,,,,,,,
Tabasco,,,,,,,,,
Tabel,,,,,,,,,
Taboulé,753,"4,88","6,7","23,7","4,9","2,5",,"0,67","0,1"
Tacaud,346,"19,7","0,33",traces,0,0,,"0,098","46,4"
Tacos,,,,,,,,,
Tagliatelles,487,"5,32","4,07","13,6","2,64","1,9",,"1,42",11
Tagliatelles fraîches,1180,"11,1","1,87","53,8","2,54","3,17",,"0,49","48,6"
Tahin,,"20,3","53,4","13,8","0,49",7,,"7,48",0
Tahiné,,"20,3","53,4","13,8","0,49",7,,"7,48",0
Tahini,,"20,3","53,4","13,8","0,49",7,,"7,48",0
Takuan,,,,,,,,,
Taleggio,,,,,,,,,
Tamari,,,,,,,,,
Tamarin,,"2,65","0,6","57,4","38,8","5,1",,"0,24",0
Tanche,,,,,,,,,
Tandoori,,"2,6","1,7","14,3","12,3","1,9",,"0,35",
Tapenade,,"1,3",23,"2,6","0,2","3,7",,"2,7","3,2"
Tapenade noire,,"1,3",23,"2,6","0,2","3,7",,"2,7","3,2"
Tapenade verte,,"1,3",23,"2,6","0,2","3,7",,"2,7","3,2"
Tapioca,1500,"0,19","0,02","87,8","3,35","0,9",,"0,005",0
Tarama,2200,"6,75","54,8","3,19","0,75","0,74",,"4,61","65,2"
Taro,555,"0,52","0,11","29,5","0,49","5,1",,"0,023",0
Tartare d'algue,,"0,99",55,"4,6","3,11","0,47",,"4,99","35,1"
Tartufata,,,,,,,,,
Taureau,,,,,,,,,
Telline,,,,,,,,,
Tempeh,634,"17,6","4,7","7,89","0,24","6,2",,"0,57",0
Tende de tranche,618,"29,8","3,03",traces,,0,,"1,03",
Tendron de veau,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Téquila,,,,,,,,,
Tête de cochon,720,"14,1","12,9","0,2",0,0,,"4,37",61
Tête de moine,720,"14,1","12,9","0,2",0,0,,"4,37",61
Tête de porc,720,"14,1","12,9","0,2",0,0,,"4,37",61
Tête de veau,779,21,"11,4",traces,,0,,"4,18",102
Tétine,,,,,,,,,
Tétragone,,"1,3","0,17",1,"0,25","1,4",,"0,027",0
Thé,"0,26",0,"0,007",0,0,0,,"0,002",0
Thé aromatisé,"0,26",0,"0,007",0,0,0,,"0,002",0
Thé matcha,"0,26",0,"0,007",0,0,0,,"0,002",0
Thé vert,"21,7",0,0,"1,09",,0,,,
Thiof,,,,,,,,,
Thon,576,"29,9","1,83",traces,0,0,,"0,9","43,5"
Thon blanc,697,30,"5,06",0,,0,,"1,35",
Thon rouge,649,"23,3","6,81",traces,0,0,,"1,26",38
Thym,446,"5,56","1,68","10,5",,14,,"0,47",0
Thym citron,446,"5,56","1,68","10,5",,14,,"0,47",0
Tiges d’oignons verts,123,2,"0,17",3,1,4,,"0,042",0
Tilapia,387,"18,1","2,13",traces,0,0,,"0,56","39,5"
Tilleul,,,,,,,,,
Tilsit,,,,,,,,,
Toast,971,"9,09","13,3","17,8","5,75","2,8",,"5,94","57,2"
Toastinette,1030,"13,8","18,5","5,34","4,95",0,,"12,3",60
Toblerone,2220,"5,8",29,"60,5","60,1","2,9",,"17,4","25,3"
Tofu,595,"14,7","8,5","2,87","0,57","< 0,5",,"1,35",0
Tofu soyeux,219,5,"2,9","1,53","1,13","0,6",,"0,47",
Tokay,,,,,,,,,
Tomate,"84,3","0,5","< 0,5","3,03","2,6","1,5",,"< 0,01",
Tomate ananas,231,"< 0,5","< 0,5","11,7","10,5","1,2",,"< 0,01",0
Tomate cocktail,"84,3","0,5","< 0,5","3,03","2,6","1,5",,"< 0,01",
Tomate concentré,419,"4,4","0,53","17,1","13,3","4,2",,"0,093",0
Tomate jaune,,"0,69","0,1","7,31","7,31","1,1",,"0,014",0
Tomate séchée,,"14,2","2,99","43,3","37,6","12,3",,"0,46",0
Tomate séchée à l'huile d'olive,779,"4,27","11,7","13,4","6,5","5,63",,"1,32",0
Tomate verte,,"1,2","0,2",4,4,"1,1",,"0,028",0
Tomates cerise,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0
Tomates concassées,"84,3","0,5","< 0,5","3,03","2,6","1,5",,"< 0,01",
Tomates confites à l’huile,779,"4,27","11,7","13,4","6,5","5,63",,"1,32",0
Tomates grappes,"84,3","0,5","< 0,5","3,03","2,6","1,5",,"< 0,01",
Tomates pelées,"76,9","1,07","0,28","1,89","1,88","1,27",,"0,045",0
Tomates séchées,,"14,2","2,99","43,3","37,6","12,3",,"0,46",0
Tome de brebis,1460,"21,1","29,4",traces,traces,0,,"19,4",
Tomme,1460,"21,1","29,4",traces,traces,0,,"19,4",
Tomme de Savoie,1520,25,"29,1",traces,"< 0,2",0,,"19,8","88,6"
Tomme québécoise,1460,"21,1","29,4",traces,traces,0,,"19,4",
Tomme vaudoise,1460,"21,1","29,4",traces,traces,0,,"19,4",
Tonic,,"0,068","0,066","8,28","7,38","0,05",,0,0
Topinambour,346,"1,8","0,7",16,"9,6","2,2",,0,0
Torsades,,,,,,,,,
Torsette,,,,,,,,,
Tortellini,837,"7,98","6,53","25,7","2,82","2,52",,"2,88",30
Tortilla,686,"5,56","9,9","11,7","1,22","2,7",,"1,55","99,2"
Tortilla chips,686,"5,56","9,9","11,7","1,22","2,7",,"1,55","99,2"
Tortils,,,,,,,,,
Tournedos,,,,,,,,,
Tourteau,520,"19,5","4,29","1,79",0,0,,"0,55","73,3"
Tout alcool qui vous tombe sous la main,2730,0,0,0,0,0,,0,0
Tranche de dinde,618,"29,8","3,03",traces,,0,,"1,03",
Travers de porc,1380,"23,1","26,6","0,13",0,0,,"10,7","98,1"
Trévise,,,,,,,,,
Tripes,342,"12,1","3,69",0,0,0,,"1,29",122
Triple sec,961,"28,7","12,6","0,48","0,33",traces,,"4,99",
"Triple sec (cointreau, grand marnier)",,"1,5",7,"8,45","6,6",traces,,"4,85",
Trompette de la mort,,"0,67","0,18","14,3","14,3","0,2",,"0,015",0
Truffe,,"5,77","0,51",,"0,7","8,5",,"0,11",0
Truffe blanche d'alba,,"5,77","0,51",,"0,7","8,5",,"0,11",0
Truffe noire,,"5,77","0,51",,"0,7","8,5",,"0,11",0
Truffe noire d’été,,"5,77","0,51",,"0,7","8,5",,"0,11",0
Truffe noire du périgord,,"5,77","0,51",,"0,7","8,5",,"0,11",0
Truite,419,19,"2,6",traces,0,0,,"0,54",
Truite saumonée,600,"19,2","7,4",traces,0,0,,"1,2",48
Tsuyu (bouillon au poisson volant),1080,5,23,7,"4,5","2,5",,16,
Tuc,2090,"10,5","23,9",59,"5,44","3,14",,"12,1","5,9"
Tuile aux amandes,1980,"7,8","18,1",68,"39,2","2,1",,"5,65","43,6"
Turbot,497,"21,3","3,64",traces,0,0,,"0,9",62
Turron,,"7,88","25,2","62,5",58,"0,7",,"1,61",0
Tzatziki,,"6,06","10,9","3,8","2,7",traces,,"0,81","8,77"
Vache qui rit®,1010,"10,4","19,3","6,38",traces,0,,"12,9",81
Vacherin,1260,"18,5","25,4",traces,traces,0,,"16,3",
Vacherin Fribourgeois,1260,"18,5","25,4",traces,traces,0,,"16,3",
Vanille,,"0,1","0,33",99,"97,2","0,37",,"0,053",
Vanille de Madagascar,,"0,1","0,33",99,"97,2","0,37",,"0,053",
Vanilline,,,,,,,,,
Veau,712,29,"5,55","0,74",,"0,053",,"1,79","87,9"
Végétaline,3700,"< 0,5","99,8",0,traces,0,,"94,6",
Velours de vinaigre balsamique,531,"0,69","< 0,6","25,8","19,1","0,5",,0,
Ventrèche,,,,,,,,,
Vénus,,,,,,,,,
Vergeoise,,,,,,,,,
Vergeoise blonde,,"26,1","1,9","48,3","1,4","12,1",,"0,32",
Vergeoise brune,,"21,3","42,2","3,56","1,4","26,9",,"4,61",
Verjus,,,,,,,,,
Vermicelles,,"0,5",5,93,91,"0,5",,4,
Vermicelles colorés,,"0,5",5,93,91,"0,5",,4,
Vermicelles de riz,378,"1,5","< 0,5","20,1","< 0,2","< 0,5",,"< 0,01",0
Vermicelles de soja,378,"1,5","< 0,5","20,1","< 0,2","< 0,5",,"< 0,01",0
Vermicelles en chocolat,,"0,5",5,93,91,"0,5",,4,
Vermouth,,"0,054",0,"11,3","11,1",0,,0,0
"Vermouth dry (martini, noilly prat)",,"0,054",0,"11,3","11,1",0,,0,0
Verveine,,,,,,,,,
Verveine citron,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Vet-tsin,,,,,,,,,
Viande,765,"27,2","8,04","0,24","0,011","0,0083",,3,"85,8"
Viande d'autruche,765,"27,2","8,04","0,24","0,011","0,0083",,3,"85,8"
Viande d’agneau,765,"27,2","8,04","0,24","0,011","0,0083",,3,"85,8"
Viande de grison,881,"38,9","5,47",1,1,0,,"2,52","91,9"
Viande hachée,765,"27,2","8,04","0,24","0,011","0,0083",,3,"85,8"
Viandox,,,,,,,,,
Vieille,1660,"33,3","28,8",traces,"< 0,2",0,,19,"87,9"
Vieux lille,1300,"19,9","25,7",traces,traces,0,,"17,4",
Vieux pané,1300,"19,9","25,7",traces,traces,0,,"17,4",
Vin blanc,,"< 0,5",0,"4,04","0,17",0,,0,0
Vin blanc sec,,"< 0,5",0,"4,04","0,17",0,,0,0
Vin Jaune,,"0,09",0,"3,29","1,37",0,,0,0
Vin mousseux,,"0,2",0,"5,1","5,1",0,,0,0
Vin rosé,,0,0,"1,6",,0,,,0
Vin rouge,341,"0,07",0,"2,63","0,62",0,,0,0
Vin rouge du Languedoc,341,"0,07",0,"2,63","0,62",0,,0,0
Vinaigre aromatisé,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre aromatisé à l'estragon,184,"3,8",traces,"4,1","1,2","6,2",,"0,6",
Vinaigre aromatisé aux noix,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre balsamique,531,"0,69","< 0,6","25,8","19,1","0,5",,0,
Vinaigre balsamique de figue,531,"0,69","< 0,6","25,8","19,1","0,5",,0,
Vinaigre blanc,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre d'alcool,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre de cidre,,0,0,"0,93","0,4",0,,0,0
Vinaigre de datte,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre de framboise,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0
Vinaigre de mangue,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre de riz,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre de sureau,,"0,64","0,5","11,4",,7,,"0,028",0
Vinaigre de vin,"93,3","< 0,5",0,traces,traces,0,,,
Vinaigre de vin blanc,"93,3","< 0,5",0,traces,traces,0,,,
Vinaigre de vin rouge affiné,"93,3","< 0,5",0,traces,traces,0,,,
Vinaigre de xérès,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre hibiscus,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vinaigre mangue,"97,4","0,04","0,1","0,62","0,04",0,,0,0
Vin,,"0,09",0,"3,29","1,37",0,,0,0
Vinaigrette,766,"8,22","16,3","1,02","0,62","0,55",,4,587
Vinaigrette aux framboises,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0
Violette,,"2,5","0,3","2,5",,"1,8",,"0,07",0
Violette au sucre,,"6,62","15,8","58,7",31,"1,04",,"9,38",
Vitpris,,,,,,,,,
Vive,,,,,,,,,
Vodka,1000,0,0,0,0,0,,0,0
Vodka ABSOLUT,1000,0,0,0,0,0,,0,0
Vol-au-vent,,"7,29","34,9","52,9","49,9","2,51",,"16,4","14,3"
Volaille,698,"27,6","5,96","0,28","0,0022","0,0013",,"1,77","99,3"
Vouvray,,,,,,,,,
Wakame,769,"12,3","1,53","6,28",,"49,5",,,
Wasa,,,,,,,,,
Wasabi,,,,,,,,,
Whisky,1050,0,0,"0,096","0,096",0,,0,0
"Whisky (bourbon, whiskey)",1050,0,0,"0,096","0,096",0,,0,0
Wonton,,,,,,,,,
Wrap complet,1020,"9,19","1,8","44,3","2,2","6,9",,"0,52",0
Xérès,,,,,,,,,
Yaourt,,,,,,,,,
Yaourt à la grecque,,"3,25","9,22","4,21","3,9","< 0,14",,"6,22","16,7"
Yaourt allégé,,"3,25","9,22","4,21","3,9","< 0,14",,"6,22",
Yaourt aromatisé,377,"3,35","2,6","12,2","12,1","0,17",,"1,75","8,6"
Yaourt aux fruits,405,"3,54","2,4","14,2","13,6","0,22",,"1,54","9,9"
Yaourt brassé,293,"3,57","2,5","7,47","7,24","0,71",,"1,65","11,8"
Yaourt bulgare,293,"3,57","2,5","7,47","7,24","0,71",,"1,65","11,8"
Yaourt de soja,293,"3,57","2,5","7,47","7,24","0,71",,"1,65","11,8"
Yaourt nature,240,"3,8","2,3","4,73","4,67","0,86",,"1,53",12
Yet,,,,,,,,,
Yuzu,,,,,,,,,
Zaatar,,,,,,,,,
Zeste d'orange,,"0,2","0,2","82,7","82,7","1,1",,"0,02",0
Zeste de citron,,"1,38","0,3","5,4","4,17","10,6",,"0,042",0
Zgougou,,,,,,,,,
Zuccata,,,,,,,,,
